meta_edible_portion_percent,meta_id,meta_name_en,meta_name_vi,nutrition_per_100g_amino_acids_alanine_mg,nutrition_per_100g_amino_acids_arginine_mg,nutrition_per_100g_amino_acids_aspartic_acid_mg,nutrition_per_100g_amino_acids_cystine_mg,nutrition_per_100g_amino_acids_glutamic_acid_mg,nutrition_per_100g_amino_acids_glycine_mg,nutrition_per_100g_amino_acids_histidine_mg,nutrition_per_100g_amino_acids_isoleucine_mg,nutrition_per_100g_amino_acids_leucine_mg,nutrition_per_100g_amino_acids_lysine_mg,nutrition_per_100g_amino_acids_methionine_mg,nutrition_per_100g_amino_acids_phenylalanine_mg,nutrition_per_100g_amino_acids_proline_mg,nutrition_per_100g_amino_acids_serine_mg,nutrition_per_100g_amino_acids_threonine_mg,nutrition_per_100g_amino_acids_tryptophan_mg,nutrition_per_100g_amino_acids_tyrosine_mg,nutrition_per_100g_amino_acids_valine_mg,nutrition_per_100g_carotenoids_alpha_carotene_mcg,nutrition_per_100g_carotenoids_beta_carotene_mcg,nutrition_per_100g_carotenoids_beta_cryptoxanthin_mcg,nutrition_per_100g_carotenoids_lutein_zeaxanthin_mcg,nutrition_per_100g_carotenoids_lycopene_mg,nutrition_per_100g_energy_kcal,nutrition_per_100g_energy_kj,nutrition_per_100g_isoflavones_daidzein_mg,nutrition_per_100g_isoflavones_genistein_mg,nutrition_per_100g_isoflavones_glycitein_mg,nutrition_per_100g_isoflavones_total_mg,nutrition_per_100g_lipids_total_monounsaturated_fat_g,nutrition_per_100g_lipids_total_polyunsaturated_fat_g,nutrition_per_100g_lipids_total_saturated_fat_g,nutrition_per_100g_lipids_total_trans_fat_g,nutrition_per_100g_macros_ash_g,nutrition_per_100g_macros_carbohydrate_g,nutrition_per_100g_macros_fat_g,nutrition_per_100g_macros_fiber_g,nutrition_per_100g_macros_protein_g,nutrition_per_100g_macros_water_g,nutrition_per_100g_minerals_calcium_mg,nutrition_per_100g_minerals_copper_mcg,nutrition_per_100g_minerals_iron_mg,nutrition_per_100g_minerals_magnesium_mg,nutrition_per_100g_minerals_manganese_mg,nutrition_per_100g_minerals_phosphorus_mg,nutrition_per_100g_minerals_potassium_mg,nutrition_per_100g_minerals_selenium_mcg,nutrition_per_100g_minerals_sodium_mg,nutrition_per_100g_minerals_zinc_mg,nutrition_per_100g_purines_purines_mg,nutrition_per_100g_sugars_fructose_g,nutrition_per_100g_sugars_galactose_g,nutrition_per_100g_sugars_glucose_g,nutrition_per_100g_sugars_lactose_g,nutrition_per_100g_sugars_maltose_g,nutrition_per_100g_sugars_sucrose_g,nutrition_per_100g_sugars_total_sugar_g,nutrition_per_100g_vitamins_folate_mcg,nutrition_per_100g_vitamins_vitamin_a_mcg,nutrition_per_100g_vitamins_vitamin_b12_mcg,nutrition_per_100g_vitamins_vitamin_b1_mg,nutrition_per_100g_vitamins_vitamin_b2_mg,nutrition_per_100g_vitamins_vitamin_b5_mg,nutrition_per_100g_vitamins_vitamin_b6_mg,nutrition_per_100g_vitamins_vitamin_b9_mcg,nutrition_per_100g_vitamins_vitamin_c_mg,nutrition_per_100g_vitamins_vitamin_d_mcg,nutrition_per_100g_vitamins_vitamin_e_mg,nutrition_per_100g_vitamins_vitamin_k_mcg,nutrition_per_100g_vitamins_vitamin_pp_mg
0.0,1013,Rice noodles,Bánh Phở,,,,,,,,,,,,,,,,,,,0,0,0,0,0,143,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1014,Wheat fritters twisted fried,Bánh Quẩy,,,,,,,,,,,,,,,,,,,0,0,0,0,0,292,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Corn flakes,Bông Ngô,650,362,541,134,1634,319,235,316,1081,230,166,421,771,429,310,61,330,418,0,0,0,0,0,372,1556,,,,,,,,,2.6,80.8,1.6,3.4,8.6,3.0,3,,0.6,,,47,,,,,,,,,,,,,,0,,0.02,0.03,,,,0,,,,0.6
100.0,1016,Glutinous rice flour,Bột gạo nếp,386,554,625,137,1296,303,156,287,550,240,156,355,313,349,238,77,223,406,0,0,0,0,0,362,1516,,,,,0.2,0.19,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,1017,Rice ordinary flour,Bột gạo tẻ,332,516,549,107,1097,267,149,244,488,207,144,317,278,310,210,72,314,348,,,,,,359,1501,,,,,0.44,0.38,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,278,320,329,265,3480,341,170,380,780,340,140,630,1254,449,380,110,142,520,0,0,0,0,0,346,1446,,,,,0.23,0.78,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1019,,,518,345,482,125,1300,284,211,248,850,195,145,340,605,329,261,49,282,351,63,97,0,1355,0,361,1511,,,,,1.02,1.76,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,STT: 20,Rice vermicelli,Bún,,,,,,,,,,,,,,,,,,,0,0,0,0,0,110,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,STT: 21,"Rice, unriped. Raw",Cơm,,,,,,,,,,,,,,,,,,,0,0,0,0,0,297,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Wheat noodles,Mỳ Sợi,,679,,,,,300,667,1036,432,320,702,,,490,150,,808,0,0,0,0,0,349,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,"Glutinous maize, boiled",Ngô Nếp Luộc,,,,,,,,,,,,,,,,,,,0,0,0,0,0,167,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,2001,Water-caltrops,Củ Ấu,,,,,,,,,,,,,,,,,,,,5,,,,115,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,Yam winged,Củ cải,63,127,155,19,181,53,34,52,96,59,21,71,54,81,54,12,40,62,,83,,,,127,532,,,,,0.01,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,119,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,Bitter cassava,Củ Sắn,38,137,79,28,206,28,20,27,39,44,11,26,33,33,28,19,17,35,0,8,0,0,0,152,635,,,,,0.08,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,119,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,29,"Nymphaea stellata wild, dried, unshelled",Cù súng khô (Đã bỏ vỏ),,,,,,,,,,,,,,,,,,,0,0,0,0,0,350,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,"Igname Yam, Chinese",Củ Tử,,,,,,,,,,,,,,,,,,,0,0,0,0,0,92,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,"Sweet potato, white",Khoai Lang,58,30,176,12,139,42,10,30,40,30,10,40,34,50,40,2,48,30,,150,,,,119,498,,,,,0.0,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,"Sweet potato, yellow",Khoai Lang Nghệ,58,35,176,12,130,12,19,40,64,42,11,42,34,50,50,12,48,61,,1470,,,,116,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,"Chinese Yam, spiny yam",Khoai Môn,,,,,,,,,,,,,,,,,,,,,,,,109,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,Water-taro,Khoai Nước,,,,,,,,,,,,,,,,,,,,,,,,98,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,Edible canna,Khoai Riêng,,,,,,,,,,,,,,,,,,,,,,,,104,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,Taro tuber,Khoai Sọ,40,140,180,17,80,68,30,70,150,70,10,90,61,110,80,20,54,90,,35,20,,,114,477,,,,,0.02,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,76,90,211,10,174,64,30,230,230,100,30,110,64,70,70,20,47,100,0,5,0,13,0,93,387,,,,,0.0,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,Vermicelli from Bermuda tuber,Miến dong,,,,,,,,,,,,,,,,,,,0,0,0,0,0,332,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,Bermuda flour,Bột Dòng Lộc,,,,,,,,,,,,,,,,,,,0,0,0,0,0,341,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Sweet potato flour,Bột Khoai Lang,,,,,,,,,,,,,,,,,,,0,0,0,0,0,334,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,STT: 41,"Canna edulis Ker, flour",Bột Khoai Riêng (Bột Đao),,,,,,,,,,,,,,,,,,,0,0,0,0,0,337,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,"Potato flour, white",Bột Khoai Tây (Lọc),21,25,91,5,80,17,10,22,33,35,8,24,21,21,20,9,12,36,0,0,0,0,0,345,1441,,,,,0.01,0.15,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,43,Cassava flour,Bột Sắn,,,,,,,,,,,,,,,,,,,0,0,0,0,0,333,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Radix puerariae flour,Bột Sắn Dây,,,,,,,,,,,,,,,,,,,0,0,0,0,0,340,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,160,90,484,33,382,116,40,90,120,70,30,100,94,138,110,4,132,90,,417,,,,333,1395,,,,,0.0,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,"Potato, white, dried",Khoai tây khô,251,290,696,33,574,211,110,750,750,330,110,360,211,231,240,50,155,320,0,18,0,46,0,330,1379,,,,,0.01,0.13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,"Potato crisp, fried",Khoai tây lát chiên,,,,,,,,,,,,,,,,,,,,,,,,525,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,Dried bitter cassava,Sắn khô,,,,,,,,,,,,,,,,,,,0,0,0,0,0,340,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,49,"Tapioca, pearls E.P",TRÂN CHÂU SẴN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,341,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,170,546,325,66,761,158,77,131,247,147,62,169,138,172,121,39,103,202,0,0,0,0,0,368,1540,,,,,1.43,0.37,29.7,,1.2,6.2,36.0,4.2,4.8,47.6,30,50,3.0,160,1.3,154,555,,7,5.0,,,,,,,,,26,0,0,0.1,0.01,0.3,0.054,0,2,,0.24,0.2,0.2
0.0,"STT: 51, Mã số: 3002","Coconut meat, immature, raw",Cùi Dứa Non,,,,,,,,,,,,,,,,,,,0,0,0,0,0,40,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,52,,,,,,,,,,,,,,,,,,,,,,,,,,321,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,905,1337,2613,235,3294,843,601,954,1725,1483,325,1168,916,1175,909,256,608,1130,,30,,,,325,1361,0,0,0,0,0.12,0.81,0.37,,2.8,53.3,1.7,4.0,24.2,14.0,56,,6.1,,,354,,,,,,,,,,,,,444,0,,0.5,0.21,0.899,0.286,0,3,,0.22,6,1.8
